chronoscope,coordinates
chronoscope_13482,"52.37785035, 9.737547582073859"
chronoscope_10107,"52.37785035, 9.737547582073859"
chronoscope_12692,"46.5225695, 6.58095049765429"
chronoscope_13074,"51.4973861, -0.17465652444465"
chronoscope_13184,"52.37785035, 9.737547582073859"
chronoscope_13548,"46.2017559, 6.146601400000001"
chronoscope_13919,"43.662917, -79.395746"
chronoscope_14453,"43.662917, -79.395746"
chronoscope_14480,"52.37785035, 9.737547582073859"
chronoscope_15057,"50.8739306, 4.70831628918913"
chronoscope_16404,"48.07772335, -1.66635435664524"
chronoscope_16897,"40.8175, -96.70138888888901"
chronoscope_17157,"48.5785039, 7.7636081179738605"
chronoscope_20244,"51.4973861, -0.17465652444465"
chronoscope_20260,"48.13003865, 11.5828884885519"
chronoscope_20658,"44.9688959, -93.26185480270951"
chronoscope_20659,"40.80970505, -73.9633886873962"
chronoscope_2505,"38.11023805, 13.373410067655598"
chronoscope_25347,"45.22086405, 10.0370379796289"
chronoscope_3716,"48.5785039, 7.7636081179738605"
chronoscope_5370,"52.1615338, 4.4889042"
chronoscope_7001,"41.316049799999995, -72.9211317278171"
chronoscope_8319,"52.51875685, 13.3935604936378"
chronoscope_9258,"46.2017559, 6.146601400000001"
