place,chronoscope,latitude,longitude
"National Museum of American History, Behring Center",chronoscope_13482,52.37785035,9.73754758207386
"National Museum of American History, Behring Center",chronoscope_10107,52.37785035,9.73754758207386
UNIL Lausanne,chronoscope_12692,46.5225695,6.58095049765429
"Science museum, London",chronoscope_13074,51.4973861,-0.17465652444465
"National Museum of American History, Behring Center",chronoscope_13184,52.37785035,9.73754758207386
"Musée Histoire des Sciences, Genève",chronoscope_13548,46.2017559,6.1466014
University of Toronto Scientific Instruments Collection,chronoscope_13919,43.662917,-79.395746
University of Toronto Scientific Instruments Collection,chronoscope_14453,43.662917,-79.395746
"National Museum of American History, Behring Center",chronoscope_14480,52.37785035,9.73754758207386
KU Leuven - Faculty of Psychology and Educational Sciences,chronoscope_15057,50.8739306,4.70831628918913
Musée de Bretagne et Ecomusée du pays de Rennes,chronoscope_16404,48.07772335,-1.66635435664524
University of Nebraska-Lincoln,chronoscope_16897,40.8175,-96.701388888889
Université de Strasbourg,chronoscope_17157,48.5785039,7.76360811797386
"Science museum, London",chronoscope_20244,51.4973861,-0.17465652444465
Deutsches Museum,chronoscope_20260,48.13003865,11.5828884885519
Darthmouth University,chronoscope_20658,44.9688959,-93.2618548027095
The Barnard College Psychology Department,chronoscope_20659,40.80970505,-73.9633886873962
"Dipartimento di Scienze Fisiche e Astronomiche, Palermo, Italy",chronoscope_2505,38.11023805,13.3734100676556
Cremona,chronoscope_25347,45.22086405,10.0370379796289
Université de Strasbourg,chronoscope_3716,48.5785039,7.76360811797386
Rijksmuseum boerhaave,chronoscope_5370,52.1615338,4.4889042
Yale Peabody Museum of Natural History,chronoscope_7001,41.3160498,-72.9211317278171
Humboldt-universität zu berlin,chronoscope_8319,52.51875685,13.3935604936378
"Musée Histoire des Sciences, Genève",chronoscope_9258,46.2017559,6.1466014
