,init_event,init_place,target_event,target_place
1,Purchase_Eisenlohr_Wheatstone,"49.0068705, 8.4034195",Meeting_Hipp_Eisenlohr,"49.0068705, 8.4034195"
2,Meeting_Hipp_Eisenlohr,"49.0068705, 8.4034195",Creation_Hipp_Chronoscope,"46.9895828, 6.9292641"
3,Creation_Hipp_Chronoscope,"46.9895828, 6.9292641",Borrow_Hirsch_Hipp,"46.9895828, 6.9292641"
4,Borrow_Hirsch_Hipp,"46.9895828, 6.9292641",Publication_Hirsch_Wundt,"46.9895828, 6.9292641"
5,Borrow_Hirsch_Hipp,"46.9895828, 6.9292641",Publication_Hirsch_Wundt,"51.3406321, 12.3747329"
6,Publication_Hirsch_Wundt,"51.3406321, 12.3747329",Letter_Wundt_Claparède,"51.3406321, 12.3747329"
7,Publication_Hirsch_Wundt,"51.3406321, 12.3747329",Letter_Wundt_Claparède,"46.2017559, 6.1466014"
0,Purchase_Eisenlohr_Wheatstone,"49.0068705, 8.4034195",Meeting_Hipp_Eisenlohr,"49.0068705, 8.4034195"
1,Meeting_Hipp_Eisenlohr,"49.0068705, 8.4034195",Creation_Hipp_Chronoscope,"46.9895828, 6.9292641"
2,Creation_Hipp_Chronoscope,"46.9895828, 6.9292641",Borrow_Hirsch_Hipp,"46.9895828, 6.9292641"
3,Borrow_Hirsch_Hipp,"46.9895828, 6.9292641",Publication_Hirsch_Wundt,"46.9895828, 6.9292641"
4,Publication_Hirsch_Wundt,"46.9895828, 6.9292641",Letter_Wundt_Claparède,"51.3406321, 12.3747329"
5,Publication_Hirsch_Wundt,"51.3406321, 12.3747329",Letter_Wundt_Claparède,"51.3406321, 12.3747329"
